id,quote,author
1,"The only way to do great work is to love what you do.","Steve Jobs"
2,"Innovation distinguishes between a leader and a follower.","Steve Jobs"
3,"Code is like humor. When you have to explain it, it's bad.","Cory House"
4,"First, solve the problem. Then, write the code.","John Johnson"
5,"Experience is the name everyone gives to their mistakes.","Oscar Wilde"
6,"In order to be irreplaceable, one must always be different.","Coco Chanel"
7,"Java is to JavaScript what car is to Carpet.","Chris Heilmann"
8,"Knowledge is power.","Francis Bacon"
9,"Sometimes it pays to stay in bed on Monday, rather than spending the rest of the week debugging Monday's code.","Dan Salomon"
10,"Perfection is achieved not when there is nothing more to add, but rather when there is nothing more to take away.","Antoine de Saint-Exupery"
11,"Programming isn't about what you know; it's about what you can figure out.","Chris Pine"
12,"The best error message is the one that never shows up.","Thomas Fuchs"
13,"Simplicity is the soul of efficiency.","Austin Freeman"
14,"Make it work, make it right, make it fast.","Kent Beck"
15,"Talk is cheap. Show me the code.","Linus Torvalds"
